E:\anaconda3\envs\CRL\lib\site-packages\wandb\sdk\lib\import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4 and slated for removal in Python 3.12; use importlib.util.find_spec() instead
  loader = importlib.find_loader(fullname, path)
global_step=95608, episodic_return=[67.42419]
global_step=95688, episodic_return=[37.615128]
global_step=95840, episodic_return=[72.32732]
global_step=95936, episodic_return=[2486.8252]
global_step=96104, episodic_return=[99.2415]
global_step=96592, episodic_return=[1992.5992]
global_step=96600, episodic_return=[2529.96]
global_step=96696, episodic_return=[47.965927]
global_step=96872, episodic_return=[803.1789]
global_step=97528, episodic_return=[1306.9707]
global_step=98088, episodic_return=[1417.2158]
SPS: 380
global_step=98352, episodic_return=[914.523]
global_step=98464, episodic_return=[1838.0247]
global_step=98496, episodic_return=[1469.8827]
global_step=98728, episodic_return=[805.2683]
global_step=98848, episodic_return=[63.170578]

num_iterations:  10%|████████████                                                                                                               | 6/61 [04:18<38:19, 41.80s/it]
global_step=100168, episodic_return=[977.88403]
global_step=101720, episodic_return=[3334.5066]
global_step=102856, episodic_return=[2870.6685]
global_step=103344, episodic_return=[273.4213]
global_step=103456, episodic_return=[3766.5488]
global_step=103688, episodic_return=[133.50627]
global_step=103768, episodic_return=[39.749878]
global_step=104568, episodic_return=[3399.769]
global_step=104736, episodic_return=[123.916046]
global_step=104976, episodic_return=[2641.8213]
global_step=105576, episodic_return=[2379.7358]
global_step=106072, episodic_return=[5550.3203]
global_step=106096, episodic_return=[605.38184]
global_step=106208, episodic_return=[60.27757]
global_step=106224, episodic_return=[64.67761]
global_step=106344, episodic_return=[61.730667]
global_step=106376, episodic_return=[83.605484]
global_step=107160, episodic_return=[424.54086]
global_step=107280, episodic_return=[1634.9716]
global_step=107352, episodic_return=[30.961555]
global_step=107376, episodic_return=[126.98301]
global_step=107504, episodic_return=[67.26303]
global_step=107696, episodic_return=[125.65431]
global_step=107752, episodic_return=[1450.0057]
global_step=107840, episodic_return=[100.08383]
global_step=107904, episodic_return=[297.96832]
global_step=108000, episodic_return=[49.50402]
global_step=108064, episodic_return=[6711.459]
global_step=108232, episodic_return=[112.04919]
global_step=109728, episodic_return=[3433.375]
global_step=109776, episodic_return=[1174.305]
global_step=109832, episodic_return=[25.312523]
global_step=109880, episodic_return=[82.04569]
global_step=110048, episodic_return=[1618.3948]
global_step=110240, episodic_return=[98.62676]
global_step=110328, episodic_return=[39.63941]
global_step=111568, episodic_return=[948.7801]
global_step=111864, episodic_return=[1092.0027]
global_step=112760, episodic_return=[2663.1296]
global_step=113256, episodic_return=[5479.9814]
global_step=114384, episodic_return=[1523.0358]
global_step=114632, episodic_return=[4555.9194]

num_iterations:  11%|██████████████                                                                                                             | 7/61 [04:59<37:26, 41.60s/it]
global_step=114848, episodic_return=[2237.3132]
global_step=115176, episodic_return=[282.13693]
global_step=115680, episodic_return=[2128.542]
global_step=115840, episodic_return=[80.777794]
global_step=117832, episodic_return=[1800.886]
global_step=118448, episodic_return=[2508.8374]
global_step=119928, episodic_return=[846.6003]
global_step=120192, episodic_return=[4573.6343]
global_step=120440, episodic_return=[133.59692]
global_step=120504, episodic_return=[28.661295]
global_step=122824, episodic_return=[4901.1357]
global_step=122832, episodic_return=[1728.9253]
global_step=123160, episodic_return=[176.2301]
global_step=123256, episodic_return=[1442.3992]
global_step=123928, episodic_return=[3894.878]
global_step=124392, episodic_return=[898.94257]
global_step=125432, episodic_return=[699.51013]
global_step=125528, episodic_return=[45.871605]
global_step=127024, episodic_return=[17230.475]
global_step=127760, episodic_return=[3103.3293]
global_step=127808, episodic_return=[487.87003]
global_step=127952, episodic_return=[10337.121]
global_step=127968, episodic_return=[77.83686]
global_step=128200, episodic_return=[2889.6738]
global_step=128352, episodic_return=[346.22238]
global_step=128472, episodic_return=[132.31125]
global_step=128560, episodic_return=[2614.1987]
global_step=128688, episodic_return=[106.03533]
global_step=128880, episodic_return=[664.181]
global_step=129896, episodic_return=[696.3585]
global_step=130144, episodic_return=[124.577354]
global_step=130280, episodic_return=[68.615456]
global_step=130712, episodic_return=[1290.6726]
global_step=130896, episodic_return=[91.81017]

num_iterations:  13%|████████████████▏                                                                                                          | 8/61 [05:40<36:24, 41.22s/it]
SPS: 385
global_step=131136, episodic_return=[61.237312]
global_step=131304, episodic_return=[99.51695]
global_step=131416, episodic_return=[59.032066]
global_step=131992, episodic_return=[2465.669]
global_step=132120, episodic_return=[948.7434]
global_step=132248, episodic_return=[87.37754]
global_step=132376, episodic_return=[76.149155]
global_step=132672, episodic_return=[2603.7896]
global_step=133136, episodic_return=[6170.536]
global_step=133816, episodic_return=[455.3116]
global_step=133928, episodic_return=[885.5241]
global_step=133984, episodic_return=[840.779]
global_step=134880, episodic_return=[677.32623]
global_step=134992, episodic_return=[56.96626]
global_step=135488, episodic_return=[2184.6973]
global_step=136496, episodic_return=[1929.0011]
global_step=138680, episodic_return=[2198.8054]
global_step=138800, episodic_return=[94.495155]
global_step=139488, episodic_return=[3057.1765]
global_step=139568, episodic_return=[39.780178]
global_step=139928, episodic_return=[726.3868]
global_step=140344, episodic_return=[463.4798]
global_step=141080, episodic_return=[2632.2888]
global_step=141128, episodic_return=[4759.9546]
global_step=141280, episodic_return=[87.4084]
global_step=141416, episodic_return=[84.74475]
global_step=141848, episodic_return=[910.0041]
global_step=144048, episodic_return=[1599.5023]
global_step=144288, episodic_return=[1387.1451]
global_step=144368, episodic_return=[37.414017]
global_step=144840, episodic_return=[9004.485]
global_step=144912, episodic_return=[59889.055]
global_step=144992, episodic_return=[78.07879]
global_step=145016, episodic_return=[64.20074]
global_step=145104, episodic_return=[43.651585]
global_step=145984, episodic_return=[3176.1055]
global_step=146120, episodic_return=[75.32151]
global_step=146256, episodic_return=[1088.5814]
global_step=146344, episodic_return=[1176.7955]
global_step=146416, episodic_return=[92.01867]

num_iterations:  15%|██████████████████▏                                                                                                        | 9/61 [06:18<34:50, 40.19s/it]
global_step=147624, episodic_return=[1393.7289]
global_step=147624, episodic_return=[1292.3356]
global_step=148712, episodic_return=[1360.4316]
global_step=149920, episodic_return=[5562.3296]
global_step=150080, episodic_return=[93.864075]
